Taxpayer Number,Taxpayer Name,Taxpayer Address,Taxpayer City,Taxpayer State,Taxpayer Zip,Taxpayer County,Location Number,Location Name,Location Address,Location City,Location State,Location Zip,Location County,Inside/Outside City Limits,TABC Permit Number,Responsibility Begin Date,Responsibility End Date,Obligation End Date,Liquor Receipts,Wine Receipts,Beer Receipts,Cover Charge Receipts,Total Receipts
30000506441,VETERANS OF FOREIGN WARS,PO BOX 309,MERKEL,TX,79536,221,1,VETERANS OF FOREIGN WARS POST 5683,125 COUNTY ROAD 396,MERKEL,TX,79536,221,N,NE119094,12/01/1993,,10/31/2017,$3688,$0,$3198,$0,$6886
16805235096,"O'BRIEN'S AT BERGHEIM, INC.",848 STATE HIGHWAY 46 E,BOERNE,TX,78006,130,1,O'BRIEN'S,848 HWY 46 E,BOERNE,TX,78006,130,N,MB570013,11/09/2004,,10/31/2017,$5975,$6556,$1866,$0,$14397
14612980483,"HOFMANN HOTS BEVERAGE COMPANY, LLC",425 BEDFORD ST,DALLAS,TX,75212,57,1,HOFMANN HOTS,340 SINGLETON BLVD,DALLAS,TX,75212,57,Y,RM827554,12/27/2012,,10/31/2017,$0,$0,$0,$0,$0
32063863420,C & R ENTERTAINMENT LLC,744 AVENIDA DE LA PLATA,BROWNSVILLE,TX,78521,31,1,DOUBLE TROUBLE,1123 E ADAMS ST STE A,BROWNSVILLE,TX,78520,31,Y,MB992411,08/25/2017,,10/31/2017,$0,$0,$0,$0,$0
32060483032,AARON PLAUNTY,5880 LEXINGTON CIR,LUMBERTON,TX,77657,100,1,THE SANDBAR & GRILL,1418 HIGHWAY 87,CRYSTAL BEACH,TX,77650,84,N,MB962209,10/25/2016,,10/31/2017,$0,$0,$0,$0,$0
17426694018,"BUM'S BILLIARDS, INC.",650 E HOPKINS ST,SAN MARCOS,TX,78666,105,1,THE I DONT KNOW BAR,650 E HOPKINS ST,SAN MARCOS,TX,78666,105,Y,MB242067,12/01/1993,,10/31/2017,$21183,$58,$23309,$0,$44550
17509785220,B P O E CROCKETT #1729,516 E HOUSTON AVE,CROCKETT,TX,75835,113,1,B P O E CROCKETT #1729,301 N 5TH ST,CROCKETT,TX,75835,113,Y,NE516716,07/25/2002,,10/31/2017,$3440,$8,$3704,$0,$7152
12002134372,"MANDES ROBIN OPERATIONS, L.L.C.",4537 SOUTHERN AVE,DALLAS,TX,75205,57,2,RED ROBIN GOURMET BURGERS,5731 LONG PRAIRIE RD,FLOWER MOUND,TX,75028,61,Y,RM689548,04/09/2008,,10/31/2017,$5278,$2304,$10735,$0,$18317
32044501628,"STACKHOUSE BURGERS, LLC",2917 GASTON AVE,DALLAS,TX,75226,57,1,STACKHOUSE BURGERS,2917 GASTON AVE,DALLAS,TX,75226,57,Y,MB834127,03/11/2013,,10/31/2017,$2658,$837,$4581,$0,$8076
32053960996,"JOURNEY'S EDGE, LLC",PO BOX 545,VAN,TX,75790,234,1,SU CASA,427 W MAIN ST,VAN,TX,75790,234,Y,RM993665,09/11/2017,,10/31/2017,$0,$0,$0,$0,$0
